rdo,city_municipality,barangay,street_subdivision,vicinity,classification,zonal_value
80,MANDAUE CITY,CAMBARO,PLARIDEL STREET,,RR,25000.0
80,MANDAUE CITY,CAMBARO,PLARIDEL STREET,,I,36000.0
80,MANDAUE CITY,CAMBARO,PLARIDEL STREET,INTERIOR,RR,14600.0
80,MANDAUE CITY,CAMBARO,F. MENDOZA STREET (formerly J. BRIONES ST.) (formerly part of Plaridel St.),PLARIDEL-C.M. CABAHUG ST.,CR,17650.0
80,MANDAUE CITY,CAMBARO,F. MENDOZA STREET (formerly J. BRIONES ST.) (formerly part of Plaridel St.),F.MENDOZA ST. to A.C. CORTES AVE.,CR,50000.0
80,MANDAUE CITY,CAMBARO,F. MENDOZA STREET (formerly J. BRIONES ST.) (formerly part of Plaridel St.),,RR,40000.0
80,MANDAUE CITY,CAMBARO,F. MENDOZA STREET (formerly J. BRIONES ST.) (formerly part of Plaridel St.),,I,45000.0
80,MANDAUE CITY,CAMBARO,F. MENDOZA STREET (formerly J. BRIONES ST.) (formerly part of Plaridel St.),INTERIOR,RR,10000.0
80,MANDAUE CITY,CAMBARO,SAN ANTONIO STREET),,RR,12000.0
80,MANDAUE CITY,CAMBARO,SAN ANTONIO STREET),,I,15000.0
80,MANDAUE CITY,CAMBARO,SAN ANTONIO STREET),INTERIOR,RR,8000.0
80,MANDAUE CITY,CAMBARO,C.M. CABAHUG STREET,F MENDOZA ST-A.C. CORTES AVENUE,CR,17500.0
80,MANDAUE CITY,CAMBARO,C.M. CABAHUG STREET,,RR,11000.0
80,MANDAUE CITY,CAMBARO,C.M. CABAHUG STREET,,I,15000.0
80,MANDAUE CITY,CAMBARO,C.M. CABAHUG STREET,INTERIOR,RR,8000.0
80,MANDAUE CITY,CAMBARO,ALL OTHERS STREET,,CR,16500.0
80,MANDAUE CITY,CAMBARO,ALL OTHERS STREET,,RR,10800.0
80,MANDAUE CITY,CAMBARO,ALL OTHERS STREET,,I,15300.0
80,MANDAUE CITY,CAMBARO,ALL OTHERS STREET,INTERIOR,RR,8800.0
80,MANDAUE CITY,CAMBARO,MHT RESIDENCES,,CC,120000.0
80,MANDAUE CITY,CAMBARO,MHT RESIDENCES,,RC,100300.0
80,MANDAUE CITY,CAMBARO,MHT RESIDENCES,,PS,37200.0
80,MANDAUE CITY,CAMBARO,CONDOMINIUMS-MID-HIGH END,,CC,135000.0
80,MANDAUE CITY,CAMBARO,CONDOMINIUMS-MID-HIGH END,,RC,115000.0
80,MANDAUE CITY,CAMBARO,CONDOMINIUMS-MID-HIGH END,,PS,50000.0
80,MANDAUE CITY,CAMBARO,ALL OTHER CONDOMINIUMS,,CC,110000.0
80,MANDAUE CITY,CAMBARO,ALL OTHER CONDOMINIUMS,,RC,95750.0
80,MANDAUE CITY,CAMBARO,ALL OTHER CONDOMINIUMS,,PS,35550.0
80,MANDAUE CITY,CANDUMAN,H. ABELLANA ST.,CANDUMAN-PAGSABUNGAN ROAD,CR,21000.0
80,MANDAUE CITY,CANDUMAN,H. ABELLANA ST.,,RR,16800.0
80,MANDAUE CITY,CANDUMAN,H. ABELLANA ST.,,I,22260.0
80,MANDAUE CITY,CANDUMAN,H. ABELLANA ST.,,GP,5250.0
80,MANDAUE CITY,CANDUMAN,H. ABELLANA ST.,INTERIOR,RR,6830.0
80,MANDAUE CITY,CANDUMAN,B. SUICO ST.,P. SANCHEZ ST. TO H. ABELLANA ST.,CR,16800.0
80,MANDAUE CITY,CANDUMAN,B. SUICO ST.,,RR,13130.0
80,MANDAUE CITY,CANDUMAN,B. SUICO ST.,,I,17850.0
80,MANDAUE CITY,CANDUMAN,B. SUICO ST.,INTERIOR,RR,7880.0
80,MANDAUE CITY,CANDUMAN,ARCADIO BORBAJO ST.,MARKET ROAD TO NHA HOUSING,CR,15750.0
80,MANDAUE CITY,CANDUMAN,ARCADIO BORBAJO ST.,,RR,8190.0
80,MANDAUE CITY,CANDUMAN,ARCADIO BORBAJO ST.,,I,14390.0
80,MANDAUE CITY,CANDUMAN,ARCADIO BORBAJO ST.,,GP,5360.0
