property_id,city,stratum,latitude,longitude,area_sqm,price_per_sqm,pred_price_per_sqm,bir_zonal_rr_median,listing_gap,model_gap,listing_gap_pct,model_gap_pct
261,Lapu-Lapu City,Condominium,10.28410958,123.97552209,50.0,180734.68,101849.56397918427,10000.0,170734.68,91849.56397918427,1707.3467999999998,918.4956397918427
263,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,216836.12,103265.24865803578,10000.0,206836.12,93265.24865803578,2068.3612,932.6524865803577
265,Lapu-Lapu City,Condominium,10.33005475,124.04013073,64.0,101562.5,200702.40516085885,7000.0,94562.5,193702.40516085885,1350.892857142857,2767.177216583698
266,Lapu-Lapu City,Condominium,10.28410958,123.97552209,50.0,171484.28,101849.56397918427,10000.0,161484.28,91849.56397918427,1614.8428,918.4956397918427
267,Lapu-Lapu City,Condominium,10.33004573,124.04013199,83.0,242168.6746987952,131284.792476606,7000.0,235168.6746987952,124284.792476606,3359.5524956970744,1775.4970353800857
269,Cebu City,Condominium,10.33733132,123.90530057,139.0,129496.40287769784,167908.70050323312,28800.0,100696.40287769784,139108.70050323312,349.64028776978415,483.0163211917816
270,Cebu City,Condominium,10.3114191,123.9178164,44.0,172727.27272727274,119877.7855447161,40600.0,132127.27272727274,79277.7855447161,325.4366323331841,195.26548163723177
273,Cebu City,Condominium,10.3250801,123.9082222,104.0,320596.1538461539,232247.79318487228,30000.0,290596.1538461539,202247.79318487228,968.6538461538463,674.159310616241
276,Lapu-Lapu City,Condominium,10.28986648,124.00575829,37.0,142267.43243243243,159906.71425540996,5000.0,137267.43243243243,154906.71425540996,2745.3486486486486,3098.134285108199
279,Lapu-Lapu City,Condominium,10.28986648,124.00575829,37.0,215448.64864864864,163437.18724398472,5000.0,210448.64864864864,158437.18724398472,4208.9729729729725,3168.7437448796945
281,Lapu-Lapu City,Condominium,10.323479,124.0367989,67.0,432504.6417910448,376828.7109358195,7000.0,425504.6417910448,369828.7109358195,6078.637739872068,5283.267299083135
282,Lapu-Lapu City,Condominium,10.30416,124.007026,34.0,123529.41176470587,157536.4652962552,5000.0,118529.41176470587,152536.4652962552,2370.5882352941176,3050.7293059251037
283,Mandaue City,Condominium,10.36827374,123.9278908,21.0,122406.38095238096,116712.59310724161,9770.0,112636.38095238096,106942.59310724161,1152.880050689672,1094.6017718243768
284,Cebu City,Condominium,10.342605,123.896352,90.0,150222.22222222222,174494.195127017,30000.0,120222.22222222222,144494.195127017,400.7407407407407,481.6473170900567
285,Lapu-Lapu City,Condominium,10.28986648,124.00575829,48.0,183567.70833333337,178900.68989689628,5000.0,178567.70833333337,173900.68989689628,3571.354166666667,3478.0137979379256
291,Lapu-Lapu City,Condominium,10.3231321,124.0349024,182.0,137362.63736263735,389169.98921138985,7000.0,130362.63736263735,382169.98921138985,1862.3233908948193,5459.571274448426
294,Cebu City,Condominium,10.31557373,123.9053366,49.0,263161.0408163265,206955.5832467987,51250.0,211911.0408163265,155705.5832467987,413.4849576903932,303.8157721888755
296,Cebu City,Condominium,10.3284975,123.9053107,26.0,173076.92307692306,188946.5086571169,30000.0,143076.92307692306,158946.5086571169,476.9230769230769,529.8216955237231
298,Lapu-Lapu City,Condominium,10.33005475,124.04013073,41.0,121951.21951219512,207113.17568146792,7000.0,114951.21951219512,200113.17568146792,1642.1602787456447,2858.7596525923987
302,Lapu-Lapu City,Condominium,10.30416,124.007026,502.0,249003.984063745,69019.77173943944,5000.0,244003.984063745,64019.77173943944,4880.0796812748995,1280.3954347887889
303,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,160132.4,103265.24865803578,10000.0,150132.4,93265.24865803578,1501.324,932.6524865803577
305,Lapu-Lapu City,Condominium,10.33005475,124.04013073,81.0,111111.11111111112,229952.20804335742,7000.0,104111.11111111112,222952.20804335742,1487.3015873015875,3185.0315434765344
307,Lapu-Lapu City,Condominium,10.3185134,124.0296471,68.0,308107.67647058825,172947.1765117239,7000.0,301107.67647058825,165947.1765117239,4301.538235294118,2370.6739501674842
310,Mandaue City,Condominium,10.3207231,123.9294311,84.0,196428.57142857145,191410.0194391446,23575.0,172853.57142857145,167835.0194391446,733.2070898348736,711.9194886071882
311,Lapu-Lapu City,Condominium,10.323479,124.0367989,99.0,404673.2424242424,376248.74288596463,7000.0,397673.2424242424,369248.74288596463,5681.04632034632,5274.982041228066
312,Cebu City,Condominium,10.342605,123.896352,101.0,133663.36633663366,175483.237148182,30000.0,103663.36633663366,145483.237148182,345.5445544554455,484.94412382727336
314,Cebu City,Condominium,10.3160059,123.905247,28.0,171428.57142857142,234509.930322098,51250.0,120178.57142857142,183259.930322098,234.49477351916377,357.5803518479961
315,Lapu-Lapu City,Condominium,10.30776262,124.01492178,71.0,150704.22535211267,147472.7662461949,5000.0,145704.22535211267,142472.7662461949,2914.0845070422533,2849.455324923898
316,Mandaue City,Condominium,10.3322671,123.9280661,21.0,162784.04761904763,137707.03376837046,21150.0,141634.04761904763,116557.03376837046,669.6645277496342,551.097086375274
317,Mandaue City,Condominium,10.31183708,123.92724037,115.0,278260.8695652174,174972.23572431057,23575.0,254685.8695652174,151397.23572431057,1080.3218221218128,642.1940009514765
318,Cebu City,Condominium,10.3208037,123.9058765,98.0,188775.51020408163,193208.25437540814,51250.0,137525.51020408163,141958.25437540814,268.3424589347934,276.9917158544549
