property_id,source,price_type,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,geocode_source,price_outlier_flag,price_per_sqm,log_price,dist_cbd_m,dist_airport_m,dist_cbrt_nearest_m,amenity_score_education,amenity_score_health,amenity_score_finance,amenity_score_grocery,amenity_score_transport,amenity_score_security,amenity_score_composite,spatial_lag_price,bir_zonal_value,valuation_gap,dist_cebu_business_park_m,dist_it_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_minglanilla_poblacion_m,dist_minglanilla_lipata_m,barangay_geocoded,bir_zonal_rr_median,bir_zonal_cr_median,bir_zonal_rc_median,bir_zonal_rr_log
623,Lamudi,ceiling,Condo For Sale in Cebu,"Le Menda Residences Nivel Hills, GMA Access Road, Busay, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Condominium,,50.0,1.0,1.0,6500000.0,10.3460355,123.8965845,Lamudi scraper,False,130000.0,15.687312734865866,,9996.1,1452.6,1,0,0,1,0,0,0.0082,15090184.0,,,3242.5,2371.4,2705.6,6990.9,9221.1,12951.3,8094.4,21567.1,15545.9,13771.0,Busay,8500.0,5500.0,120000.0,9.04793908261736
624,Lamudi,ceiling,Condo For Sale in Apas,"38 Park Avenue Condominium, India St, Apas, Lungsod ng Cebu, Lalawigan ng Cebu, Pilipinas",Cebu City,Condominium,,54.0,1.0,1.0,13393855.0,10.3320181,123.9082723,Lamudi scraper,False,248034.35185185185,16.410306577650665,,8214.1,449.3,16,4,22,31,2,3,0.3021,24754807.0,,,1633.7,650.2,1737.4,5137.2,8598.3,12358.8,7832.8,21448.6,15457.9,13650.3,Apas,28800.0,37300.0,125550.0,10.268165387743457
625,Lamudi,ceiling,House For Sale in Talisay,"Kishanta Subdivision, Talisay, Lalawigan ng Cebu, Pilipinas",Talisay City,Single Detached,,609.0,7.0,7.0,45000000.0,10.2754314,123.8320574,Lamudi scraper,False,73891.62561576355,17.622173047734595,,16458.6,2155.9,2,0,0,0,0,0,0.0121,33899569.0,,,9200.8,9876.5,12183.1,13727.2,2962.2,3529.5,18275.5,11030.9,5018.0,3220.6,Lagtang,8000.0,16000.0,,8.987321812850125
626,Lamudi,ceiling,Condo For Sale in Cebu,"Guadalupe, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Condominium,,20.0,,1.0,2800000.0,10.3156173,123.8854377,Lamudi scraper,False,140000.0,14.845129975145433,,10277.3,387.9,15,8,26,23,0,4,0.2737,49064040.0,,,2073.6,2543.2,4829.9,7215.4,5666.3,9422.5,10922.6,18364.2,12367.4,10561.1,Guadalupe,23700.0,29550.0,84000.0,10.073272520325904
627,Lamudi,ceiling,Condo For Sale in Tejero,"Galleria Residences Cebu (Tower 2), General Maxilom Avenue Extension, Lungsod ng Cebu, Lalawigan ng Cebu, Pilipinas",Cebu City,Condominium,,34.0,1.0,1.0,8937511.0,10.3032921,123.9109581,Lamudi scraper,False,262867.9705882353,16.005767696752873,,7455.4,2695.8,9,4,3,21,8,2,0.3765,10854375.0,,,1779.0,2665.9,4386.4,4568.0,6683.4,10259.3,9984.2,19794.5,13978.7,12186.8,Tejero (Villa Gonzalo),48000.0,69500.0,,10.778977123006351
628,Lamudi,ceiling,Condo For Sale in Agus,"Agus Road, Marigondon, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,,25.0,1.0,1.0,4419051.0,10.28410958,123.97552209,Lamudi scraper,False,176762.04,15.30143552511892,,2594.3,9530.5,4,1,4,5,0,2,0.0609,11740759.0,,,8653.5,8982.5,8744.4,4216.4,12833.6,15599.3,10354.6,25242.1,19967.5,18308.7,Basak,10000.0,15000.0,62500.0,9.210440366976517
629,Lamudi,ceiling,House For Sale in Pajo,"16 Small Rd, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,Single Detached,,157.0,4.0,4.0,18500000.0,10.30901214,123.95905606,Lamudi scraper,False,117834.3949044586,16.733281290048552,,2190.2,6547.5,11,2,19,20,6,3,0.3357,119200000.0,,,6075.6,6153.3,5522.1,987.3,11711.8,14993.0,7523.5,24684.1,19042.9,17285.3,Pajo,10000.0,20000.0,,9.210440366976517
630,Lamudi,ceiling,Condo For Sale in Punta Engaño,"Punta Engano, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,,71.0,2.0,2.0,7500000.0,10.33005475,124.04013073,Lamudi scraper,False,105633.8028169014,15.83041357850654,,7155.5,14142.8,3,0,0,1,0,0,0.0203,31631135.0,,,14925.8,14703.4,13106.2,9880.5,20857.6,23999.9,9819.4,33703.0,28173.0,26431.8,Punta Engaño,7000.0,13500.0,95000.0,8.853808274977197
631,Lamudi,ceiling,Condo For Sale in Lapu-Lapu,"72V6+397, Maribago, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,Condominium,,40.0,,,7800000.0,10.29176178,124.01060242,Lamudi scraper,False,195000.0,15.86963429165982,,3860.6,12441.5,1,0,0,0,0,0,0.0061,11923703.0,,,11991.3,12109.9,11266.2,6923.0,16745.9,19523.1,10725.4,29147.3,23898.6,22236.8,Mactan,5000.0,10500.0,107500.0,8.517393171418904
632,Lamudi,ceiling,Condo For Sale in Agus,"Agus Road, Marigondon, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,,22.0,1.0,1.0,3673557.0,10.28410958,123.97552209,Lamudi scraper,False,166979.86363636365,15.116670960459452,,2594.3,9530.5,4,1,4,5,0,2,0.0609,11750569.0,,,8653.5,8982.5,8744.4,4216.4,12833.6,15599.3,10354.6,25242.1,19967.5,18308.7,Basak,10000.0,15000.0,62500.0,9.210440366976517
