title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs
"Condo For Sale in Chino Roces Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-condo-for-sale-in-makati-city-ln885458,"PHP 5,107,800","Chino Roces Avenue, Makati City, Metro Manila",,44 m²,1,1,Available from 15 Dec,,15 Dec 10:09,Grace L.,"['PHP 5,107,800', 'Chino Roces Avenue, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '44 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']"
"Condo For Sale in 191, Salcedo, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-condo-in-makati-city-near-ayala-triangle-greenbelt-ln118038,"PHP 5,500,000","191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229",,28 m²,1,1,Available from 15 Dec,,15 Dec 09:58,Grace L.,"['PHP 5,500,000', '191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229', 'Bedrooms:', '1', 'Area:', '28 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']"
"Condo For Sale in Dela Rosa Access Road 3, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-condo-for-sale-in-legazpi-village-makati-city-ln747910,"PHP 11,000,000","Dela Rosa Access Road 3, Makati City, Metro Manila",,59 m²,1,1,Available from 15 Dec,,15 Dec 09:55,Grace L.,"['PHP 11,000,000', 'Dela Rosa Access Road 3, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '59 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']"
"Condo For Sale in 8757, Sedeño, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/2br-condo-for-sale-in-makati-city-ln759869,"PHP 17,000,000","8757, Sedeño, Makati City, Metro Manila, 1227",,106 m²,2,2,Available from 15 Dec,,15 Dec 09:51,Grace L.,"['PHP 17,000,000', '8757, Sedeño, Makati City, Metro Manila, 1227', 'Bedrooms:', '2', 'Area:', '106 m²', 'Bathrooms:', '2', 'Available from:', '15 Dec']"
"Commercial land For Sale in Calamba, Calabarzon",https://lifenavi.com/ph/properties/calamba/for-sale/commercial-land/commercial-lot-for-sale-in-calamba-laguna-ln899621,"PHP 45,000,000","Calamba, Calabarzon, 4027",,596 m²,,,Vacant,Unfurnished,15 Dec 09:43,Grace L.,"['PHP 45,000,000', 'Calamba, Calabarzon, 4027', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '596 m²', 'Available from:', '15 Dec']"
"Commercial land For Sale in Calamba, Calabarzon",https://lifenavi.com/ph/properties/calamba/for-sale/commercial-land/505-sqm-residential-vacant-lot-for-sale-in-calamba-laguna-ln108024,"PHP 28,000,000","Calamba, Calabarzon",,505 m²,,,Vacant,Unfurnished,15 Dec 09:36,Grace L.,"['PHP 28,000,000', 'Calamba, Calabarzon', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '505 m²', 'Available from:', '15 Dec']"
"Condo For Sale in Unit B, Metro Bank Avenue, Pasay City",https://lifenavi.com/ph/properties/pasay-city/for-sale/condo/2br-condo-for-sale-in-bay-area-metropolitan-pasay-city-ln851232,"PHP 7,000,000","Unit B, Metro Bank Avenue, Pasay City, Metro Manila, 1300",,39 m²,2,1,Available from 15 Dec,,15 Dec 09:27,Grace L.,"['PHP 7,000,000', 'Unit B, Metro Bank Avenue, Pasay City, Metro Manila, 1300', 'Bedrooms:', '2', 'Area:', '39 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']"
"Commercial land For Sale in City of Santa Rosa, Calabarzon",https://lifenavi.com/ph/properties/city-of-santa-rosa/for-sale/commercial-land/commercial-lot-for-sale-in-santa-rosa-laguna-ln599257,"PHP 337,440,000","City of Santa Rosa, Calabarzon",,2109 m²,,,Vacant,Unfurnished,15 Dec 09:23,Grace L.,"['PHP 337,440,000', 'City of Santa Rosa, Calabarzon', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '2109 m²', 'Available from:', '15 Dec']"
"House and Lot For Sale in 18, Djakarta, Parañaque",https://lifenavi.com/ph/properties/paranaque/for-sale/house-and-lot/5br-corner-house-and-lot-for-sale-in-bf-homes-paranaque-ci-ln251956,"PHP 45,000,000","18, Djakarta, Parañaque, Metro Manila, 1718",,430 m²,5+,5,Available from 15 Dec,,15 Dec 08:22,Grace L.,"['PHP 45,000,000', '18, Djakarta, Parañaque, Metro Manila, 1718', 'Bedrooms:', '5+', 'Area:', '430 m²', 'Bathrooms:', '5', 'Available from:', '15 Dec']"
"House and Lot For Sale in Alfonso, Calabarzon",https://lifenavi.com/ph/properties/alfonso/for-sale/house-and-lot/4br-house-for-sale-in-ridgewoods-heights-tagaytay-ln689793,"PHP 24,800,000","Alfonso, Calabarzon",,480 m²,4,4,Available from 15 Dec,,15 Dec 08:19,Grace L.,"['PHP 24,800,000', 'Alfonso, Calabarzon', 'Bedrooms:', '4', 'Area:', '480 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']"
"House and Lot For Sale in 67, Angeles, Muntinlupa",https://lifenavi.com/ph/properties/muntinlupa/for-sale/house-and-lot/5br-house-for-sale-in-muntinlupa-city-ln945140,"PHP 150,000,000","67, Angeles, Muntinlupa, Metro Manila",,1284 m²,5+,5,Available from 15 Dec,,15 Dec 08:16,Grace L.,"['PHP 150,000,000', '67, Angeles, Muntinlupa, Metro Manila', 'Bedrooms:', '5+', 'Area:', '1284 m²', 'Bathrooms:', '5', 'Available from:', '15 Dec']"
