id,lat,lon,amenity_type,amenity,lgu
ChIJp7PXJvyXqTMRivzMGVRLhBA,10.361245,123.980757,pharmacy,Budie's Point Pharmacy & Convenience Store,Consolacion
ChIJE-Cws7aiqTMRYECsH7gaBJk,10.3806649,123.9685237,pharmacy,CEDLAR'S Pharmacy,Consolacion
ChIJRXt8RXWYqTMRPFOUckhg7bQ,10.3672354,123.9519869,pharmacy,D' Seven Pharmacy And General Mdse.,Consolacion
ChIJLzVxOKKiqTMRYbDYChYnaUk,10.3735917,123.9547748,pharmacy,Ecpy,Consolacion
ChIJw9kAGTC9qTMRR4jJtKm1ZoU,10.392529,123.9849487,pharmacy,Ellestreque Pharmaceutical and Industrial Corporation,Consolacion
ChIJoedZ76SiqTMRnbaeqwguhYM,10.3751551,123.9603253,pharmacy,Emmanuel Pharmacy,Consolacion
ChIJTWP56aSiqTMRr1mzVtasi1w,10.3754403,123.9601004,pharmacy,Evercare Pharmacy,Consolacion
ChIJseQnTbSiqTMREpeRN41Gmog,10.3824423,123.971382,pharmacy,F and J Pharmacy and General Merchandise,Consolacion
ChIJN1yjz7CiqTMR070FTw8joxs,10.3802612,123.9657785,pharmacy,FARMACIAS ZAMORA CORP,Consolacion
ChIJ7eoE70S9qTMRqRBfYMJ_RBg,10.3747401,123.9897951,pharmacy,Farmacia ni Dok,Consolacion
ChIJK5r6OgCjqTMRY8QTSOxd5OQ,10.3764424,123.9589731,pharmacy,Generika Consolacion,Consolacion
ChIJ292XO6KiqTMRArvmORspagU,10.3796059,123.9554907,pharmacy,Generika Drugstore,Consolacion
ChIJ575JK-C8qTMRYwOayoFuAPo,10.4009342,124.0000478,pharmacy,Generika Drugstore,Consolacion
ChIJLcarWwC9qTMR9i1hxdWTo_k,10.428017,123.9945086,pharmacy,Generika Drugstore Cotcot Branch,Consolacion
ChIJT_VtGAC9qTMRjgQsm9D1WyI,10.4259644,124.0003794,pharmacy,Generika Pharmacy,Consolacion
ChIJ4wARIDC9qTMRdVgrGVxyqZg,10.3929547,123.9847003,pharmacy,Generika drugstore,Consolacion
ChIJ-3QQXgCjqTMR56NOu4nOvbM,10.3776793,123.9624112,pharmacy,Healthway Pharmacy,Consolacion
ChIJCbbcNgCZqTMRhPB8bgBICaU,10.3650216,123.9640798,pharmacy,Intra Marou,Consolacion
ChIJa4SGPnWYqTMRQZpApcWf2mI,10.366568,123.9514566,pharmacy,Jagobiao Pharmacy and General Merchandise,Consolacion
ChIJ23P1xaGiqTMRVlqEllgPoS0,10.3707805,123.9536704,pharmacy,KONZEPT DRUG & CONVENIENCE STORE,Consolacion
ChIJ8Sc9JPyXqTMRYXDm9_dWjGo,10.3613171,123.9810802,pharmacy,Krisjames Pharmacy,Consolacion
ChIJAZHeRr-iqTMRntTFHwWGFU4,10.3855872,123.9573058,pharmacy,LARRAH MAE PHARMACY,Consolacion
ChIJHyXV5qSiqTMRoIlmrBuTSIY,10.3752868,123.9602952,pharmacy,Malunjao's Pharmacy & General Merchandise,Consolacion
ChIJlU7aEzW9qTMRR9zEeRUL8t8,10.3857782,123.9768726,pharmacy,Melbourne Drug,Consolacion
ChIJe3weM7uiqTMR_8AuvXfALJ0,10.3767689,123.9602321,pharmacy,Mercury Drug (Work),Consolacion
ChIJLVElE5i9qTMRUsuQVaJqhkA,10.3917525,123.9834757,pharmacy,Mercury Drug - Liloan Nat'l Hway Yati,Consolacion
ChIJxba2s7aiqTMRqje6F5g-kZM,10.3806706,123.9685305,pharmacy,Molly PHARMACY,Consolacion
ChIJrycoPHWYqTMRpggP1VQgibs,10.3665114,123.9515217,pharmacy,NORCH MED Pharmacy,Consolacion
ChIJp6GaVACjqTMRKOr4rhBzI70,10.3809927,123.9686755,pharmacy,North Med Pharmacy,Consolacion
ChIJ1aa5EjW9qTMRxkbjrSxk3FI,10.3855427,123.9770064,pharmacy,Precious Pharmacy,Consolacion
ChIJzzRFXkKZqTMRswE8yE45pp4,10.373772,123.9592968,pharmacy,RHEAN Pharmacy,Consolacion
