id,lat,lon,amenity_type,amenity,lgu
96943192,10.3378723,123.8907085,tertiary,Salinas Drive Extension,Cebu City
97521374,10.2970271,123.8978138,secondary,Osmeña Boulevard,Cebu City
97531747,10.3230721,123.8847172,tertiary,Andres Abellana Extension,Cebu City
97908229,10.3036822,123.9127554,secondary,General Maxilom Avenue Extension,Cebu City
97908230,10.3060915,123.9158209,trunk,Sergio Osmeña Avenue,Cebu City
97954214,10.3194671,123.9202366,primary,Lopez Jaena Street,Cebu City
97954216,10.3186199,123.9191607,primary,Lopez Jaena Street,Cebu City
98166876,10.3784,123.9261611,tertiary,Unnamed road corridor,Cebu City
98166965,10.3833099,123.9302335,tertiary,Unnamed road corridor,Cebu City
98166985,10.3937429,123.926947,tertiary,Unnamed road corridor,Cebu City
98167004,10.3969636,123.9258227,tertiary,Unnamed road corridor,Cebu City
98167381,10.3916363,123.9295298,tertiary,Unnamed road corridor,Cebu City
98259854,10.3775452,123.9178944,tertiary,San Jose Road,Cebu City
98260084,10.3971031,123.9114016,tertiary,Unnamed road corridor,Cebu City
98260085,10.3981742,123.9062514,tertiary,Unnamed road corridor,Cebu City
98260329,10.3993002,123.9066896,tertiary,Unnamed road corridor,Cebu City
98260351,10.3703591,123.8821425,tertiary,Busay-Budlaan Road,Cebu City
98264132,10.3926365,123.8520884,tertiary,Unnamed road corridor,Cebu City
98264158,10.3721788,123.8442746,tertiary,Bonbon-Sudlon Road,Cebu City
98264159,10.3744844,123.8523287,tertiary,Unnamed road corridor,Cebu City
98264167,10.3679045,123.860496,tertiary,Unnamed road corridor,Cebu City
98409389,10.3446492,123.892954,tertiary,Unnamed road corridor,Cebu City
98409390,10.3438824,123.8919848,tertiary,Unnamed road corridor,Cebu City
98409399,10.3317373,123.8742413,tertiary,Unnamed road corridor,Cebu City
98409401,10.3352031,123.8694994,tertiary,Sapangdaku Road,Cebu City
98409417,10.3353362,123.8665399,tertiary,Buhisan Road,Cebu City
98409418,10.3325759,123.8535289,tertiary,Buhisan Road,Cebu City
98409421,10.3355105,123.8666885,tertiary,Buhisan Road,Cebu City
98409494,10.3182756,123.8766682,tertiary,Unnamed road corridor,Cebu City
98409676,10.3266807,123.888193,tertiary,Unnamed road corridor,Cebu City
98430106,10.3164679,123.8874842,secondary,M. Velez Street,Cebu City
98430107,10.3168359,123.8885536,secondary,M. Velez Street,Cebu City
98430111,10.3252399,123.8880779,tertiary,Unnamed road corridor,Cebu City
98430114,10.3243929,123.8841159,tertiary,Singson Road,Cebu City
98430152,10.321198,123.8808798,tertiary,Gervacio Quijada Street,Cebu City
98430251,10.3233946,123.8869415,tertiary,Andres Abellana Extension,Cebu City
98430268,10.3241919,123.8876066,tertiary,Tipolo Ville Road,Cebu City
98430269,10.3239501,123.8854004,tertiary,Andres Abellana Street,Cebu City
98430311,10.3127015,123.8827208,tertiary,J. Fortich Street,Cebu City
98430356,10.3119272,123.8784345,secondary,Ramon Duterte Street,Cebu City
98430361,10.314098,123.8808456,secondary,Ramon Duterte Street,Cebu City
