bank,bm_code,city,property_type,project_name,address,lot_area_sqm,floor_area_sqm,price,description
Bank of Commerce,91972,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,3620-FF Villa Verna Subdivision Bo Bulacao Talisay City,150,0,1875000,residential vacant lot
Bank of Commerce,91973,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,3620-GG Villa Verna Subdivision Bo Bulacao Talisay City,149,0,1863000,residential vacant lot
Bank of Commerce,91978,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,3620-LL Villa Verna Subdivision Brgy Bulacao Talisay City,110,0,1375000,residential vacant lot
Bank of Commerce,91980,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,3620-NN Villa Verna Subdivision Bo Bulacao Talisay City,161,0,2013000,residential vacant lot
Bank of Commerce,92264,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 1 Blk 1 Villa Verna Subdivision Bo Bulacao Talisay City,1043,0,13038000,residential vacant lot
Bank of Commerce,92306,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 4 Blk 4 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92315,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 13 Blk 4 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92329,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 11 Blk 5 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92330,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 12 Blk 5 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92366,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 8 Blk 8 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92372,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 2 Blk 9 Villa Verna Subdivision Bo Bulacao Talisay City,112,0,1501000,residential vacant lot
Bank of Commerce,92373,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 3 Blk 9 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92374,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 4 Blk 9 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92375,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 5 Blk 9 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92376,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 6 Blk 9 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92381,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 11 Blk 9 Villa Verna Subdivision Bo Bulacao Talisay City,119,0,1595000,residential vacant lot
Bank of Commerce,92383,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 1 Blk 10 Villa Verna Subdivision Bo Bulacao Talisay City,132,0,1769000,residential vacant lot
Bank of Commerce,92385,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 3 Blk 10 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,92394,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 12 Blk 10 Villa Verna Subdivision Bo Bulacao Talisay City,134,0,1675000,residential vacant lot
Bank of Commerce,92396,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 14 Blk 10 Villa Verna Subdivision Bo Bulacao Talisay City,112,0,1400000,residential vacant lot
Bank of Commerce,92402,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 5 Blk 11 Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
