source,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,listing_url,market_segment
Lamudi,Condo For Sale in Subabasbas,"Subabasbas, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,,27.0,,1.0,800000.0,10.2551102,123.9728574,https://www.lamudi.com.ph/property/41032-73-4d9c0935f34e-f0f-19de401-b04a-7155,open_market
Lamudi,Studio For Sale in Subabasbas,"Subabasbas, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,,28.0,1.0,1.0,2980000.0,10.2551102,123.9728574,https://www.lamudi.com.ph/property/41032-73-9be768bdc1cc-4193-19c0569-b1ac-767c,open_market
Lamudi,House For Sale in Pakigne,"Luana Dos Subdivision, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,86.0,3.0,2.0,7000000.0,10.2554128,123.7984971,https://www.lamudi.com.ph/property/41032-73-94a7adfd77f3-b1dc-19b97d4-bd61-733d,open_market
Lamudi,Townhouse For Sale in Pakigne,"Luana Dos Subdivision, Minglanilla, Cebu, Pilipinas",Minglanilla,Townhouse,,86.0,3.0,2.0,7000000.0,10.2554128,123.7984971,https://www.lamudi.com.ph/property/41032-73-cea9c2b154cd-78d7-19abf66-9989-732c,open_market
Lamudi,House For Sale in Pakigne,"Pakigne, Minglanilla, Cebu, Central Visayas, PHL",Minglanilla,House and Lot,,158.0,4.0,3.0,16897678.0,10.25546455,123.7984869,https://www.lamudi.com.ph/property/41032-73-f60cebda04a-18ea-19d9ab5-b385-732b,open_market
Lamudi,Condo For Sale in Subabasbas,"Costa Mira Beachtown Mactan, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,52.0,1.0,1.0,10951000.0,10.2557023,123.9722415,https://www.lamudi.com.ph/property/41032-73-2a93c64cf357-55c8-19db9f1-a797-7246,open_market
Lamudi,Condo For Sale in Subabasbas,"Subabasbas, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,,44.0,1.0,1.0,6523536.0,10.25721823,123.97366883,https://www.lamudi.com.ph/property/41032-73-330e6cb387f7-b245-1989735-8814-7351,open_market
Lamudi,House For Sale in Subabasbas,"6015, Lapu-Lapu City, Central Visayas, PHL",Lapu-Lapu City,House and Lot,,550.0,3.0,3.0,29000000.0,10.25722852,123.98008324,https://www.lamudi.com.ph/property/41032-73-d3b6da87d634-320b-25430679-bb74-1237,open_market
Lamudi,House For Sale in Lawaan I,"Talisay City, Lalawigan ng Cebu, Pilipinas",Talisay City,House and Lot,,83.0,4.0,3.0,7899000.0,10.2585936,123.8241275,https://www.lamudi.com.ph/property/41032-73-911179d8b2ff-2913-19dbacb-8b40-74a4,open_market
Lamudi,House For Sale in Lawaan I,"Talisay, Lalawigan ng Cebu, Pilipinas",Talisay City,House and Lot,,280.0,4.0,3.0,18500000.0,10.2585936,123.8241275,https://www.lamudi.com.ph/property/41032-73-b5a10e64e38e-e11d-19db055-8f15-7bbc,open_market
Lamudi,House For Sale in Lawaan I,"Talisay, Cebu, Pilipinas",Talisay City,House and Lot,,338.0,5.0,3.0,21880000.0,10.2585936,123.8241275,https://www.lamudi.com.ph/property/41032-73-64112b1f9dd6-c9c5-19dee1e-9e33-77f6,open_market
Lamudi,Condo For Sale in Subabasbas,"SAEKYUNG OCEAN RESIDENCES, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,28.0,,1.0,2800000.0,10.2585789,123.9715452,https://www.lamudi.com.ph/property/41032-73-4e4b8d1c1b9a-fce2-1968155-ac2f-78cc,open_market
Lamudi,Condo For Sale in Subabasbas,"Suba Basbas Road, Lapu-Lapu City, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,28.0,1.0,1.0,2800000.0,10.2592087,123.9713763,https://www.lamudi.com.ph/property/41032-73-fe8117db829a-3a0c-194d919-bf66-8041,open_market
Lamudi,Townhouse For Sale in Subabasbas,"Suba Basbas Road, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Townhouse,,64.0,3.0,2.0,6000000.0,10.2592087,123.9713763,https://www.lamudi.com.ph/property/41032-73-10a5cd87a0c3-d6f6-19a2469-82aa-74e5,open_market
Lamudi,House For Sale in Subabasbas,"Suba Basbas Road, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,House and Lot,,250.0,4.0,4.0,11000000.0,10.2592087,123.9713763,https://www.lamudi.com.ph/property/41032-73-d53263086447-a918-19638b1-8bdd-7667,open_market
Lamudi,House For Sale in Poblacion Ward IV,"Vito Ville Subdivision, Vito, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,72.0,3.0,2.0,8277045.0,10.2617529,123.7859862,https://www.lamudi.com.ph/property/41032-73-49860c7536d-80ed-19bf9b4-b96f-70fa,open_market
Lamudi,Condo For Sale in Lawaan I,"Lawaan I, Talisay City, Cebu, Central Visayas, PHL",Talisay City,Condominium,,24.0,,1.0,3340939.0,10.26193657,123.8264821,https://www.lamudi.com.ph/property/41032-73-ecd771c8485-2465-1997088-acbb-7530,open_market
Lamudi,House For Sale in Cebu,"Tangke, Talisay City, Cebu, Central Visayas, PHL",Cebu City,House and Lot,,202.0,4.0,3.0,38000000.0,10.262509143573606,123.87065179646017,https://www.lamudi.com.ph/property/41032-73-5e9fc3b43281-d5ac-19dc7c3-8a64-7c65,open_market
Lamudi,House For Sale in Lawaan I,"Lawaan Iii, Talisay City, Cebu, Central Visayas, PHL",Talisay City,House and Lot,,260.0,5.0,4.0,18000500.0,10.264092,123.826378,https://www.lamudi.com.ph/property/41032-73-b0df021a0ddc-fd9e-1976435-b040-7dc7,open_market
